"Relative Time (Process)","DQN2 - _step","DQN2 - _step__MIN","DQN2 - _step__MAX","DQN2 - amount_of_options_explored","DQN2 - amount_of_options_explored__MIN","DQN2 - amount_of_options_explored__MAX"
"14.937594328","6","6","6","1","1","1"
"17.22403423","70","70","70","2","2","2"
"19.458989524","146","146","146","3","3","3"
"23.206390377","223","223","223","4","4","4"
"25.611235168","293","293","293","5","5","5"
"27.823612075","369","369","369","6","6","6"
"39.281847354","666","666","666","7","7","7"
"41.201080945","730","730","730","8","8","8"
"43.197642038","800","800","800","9","9","9"
"78.684131057","1790","1790","1790","10","10","10"
"80.702016941","1860","1860","1860","11","11","11"
"581.068826872","14752","14752","14752","12","12","12"
"583.342670921","14828","14828","14828","13","13","13"
"900.843581635","22526","22526","22526","14","14","14"
"903.453075619","22596","22596","22596","15","15","15"
