"Relative Time (Process)","DQN6 - _step","DQN6 - _step__MIN","DQN6 - _step__MAX","DQN6 - env_steps_inside_sim","DQN6 - env_steps_inside_sim__MIN","DQN6 - env_steps_inside_sim__MAX"
"8.837196567","7","7","7","1","1","1"
"9.079227346","13","13","13","2","2","2"
"9.140136156","19","19","19","3","3","3"
"9.196886293","25","25","25","4","4","4"
"9.252923457","31","31","31","5","5","5"
"9.29777421","37","37","37","6","6","6"
"9.339637066","43","43","43","7","7","7"
"9.39815765","49","49","49","8","8","8"
"9.448129946","55","55","55","9","9","9"
"9.495967934","61","61","61","10","10","10"
"11.614772741","71","71","71","11","11","11"
"11.673334759","77","77","77","12","12","12"
"11.728878754","83","83","83","13","13","13"
"11.777246502","89","89","89","14","14","14"
"11.827203175","95","95","95","15","15","15"
"11.876598837","101","101","101","16","16","16"
"11.936403788","107","107","107","17","17","17"
"12.001864439","113","113","113","18","18","18"
"12.046830023","119","119","119","19","19","19"
"12.096182388","125","125","125","20","20","20"
"12.14241047","131","131","131","21","21","21"
"12.191536278","137","137","137","22","22","22"
"14.106098467","147","147","147","23","23","23"
"14.175845815","153","153","153","24","24","24"
"14.229200988","159","159","159","25","25","25"
"14.282230293","165","165","165","26","26","26"
"14.338299553","171","171","171","27","27","27"
"14.389034914","177","177","177","28","28","28"
"14.441899099","183","183","183","29","29","29"
"14.499381366","189","189","189","30","30","30"
"14.554438741","195","195","195","31","31","31"
"14.617058528","201","201","201","32","32","32"
"14.671513375","207","207","207","33","33","33"
"18.359922372","224","224","224","34","34","34"
"18.404758127","230","230","230","35","35","35"
"18.449706917","236","236","236","36","36","36"
"18.491977284","242","242","242","37","37","37"
"18.538305286","248","248","248","38","38","38"
"18.584804384999998","254","254","254","39","39","39"
"18.629924282","260","260","260","40","40","40"
"18.679944086","266","266","266","41","41","41"
"18.729400379","272","272","272","42","42","42"
"18.780749021","278","278","278","43","43","43"
"18.834772686","284","284","284","44","44","44"
"20.514971787","294","294","294","45","45","45"
"20.554971302","300","300","300","46","46","46"
"20.600414767","306","306","306","47","47","47"
"20.644211319","312","312","312","48","48","48"
"20.685214009","318","318","318","49","49","49"
"20.773718471","324","324","324","50","50","50"
"20.773747954","330","330","330","51","51","51"
"20.8190485","336","336","336","52","52","52"
"20.865791522","342","342","342","53","53","53"
"20.909325879","348","348","348","54","54","54"
"20.954079753","354","354","354","55","55","55"
"22.620944441","364","364","364","56","56","56"
"22.672611039","370","370","370","57","57","57"
"22.727119153","376","376","376","58","58","58"
"22.789285647","382","382","382","59","59","59"
"22.847092366","388","388","388","60","60","60"
"22.905614634","394","394","394","61","61","61"
"22.958992099","400","400","400","62","62","62"
"23.01413258","406","406","406","63","63","63"
"23.075260021","412","412","412","64","64","64"
