"Relative Time (Process)","DQN8 - _step","DQN8 - _step__MIN","DQN8 - _step__MAX","DQN8 - rewards_per_sequence","DQN8 - rewards_per_sequence__MIN","DQN8 - rewards_per_sequence__MAX"
"13.49878568","4","4","4","0","0","0"
"21.530706203","233","233","233","-4.51","-4.51","-4.51"
"28.9340195","450","450","450","-4.82","-4.82","-4.82"
"36.41510598","673","673","673","-4.47","-4.47","-4.47"
"44.28668052","901","901","901","-3.52","-3.52","-3.52"
"51.932501727","1121","1121","1121","-3.52","-3.52","-3.52"
"60.057499365","1347","1347","1347","-3.52","-3.52","-3.52"
"67.939833915","1573","1573","1573","-3.52","-3.52","-3.52"
"75.77701956","1811","1811","1811","-3.52","-3.52","-3.52"
"83.774769776","2037","2037","2037","-3.52","-3.52","-3.52"
"91.530694296","2263","2263","2263","-3.52","-3.52","-3.52"
"98.695616119","2485","2485","2485","-5.1","-5.1","-5.1"
"106.338933677","2711","2711","2711","-3.52","-3.52","-3.52"
"114.046681903","2937","2937","2937","-3.52","-3.52","-3.52"
"121.359467155","3163","3163","3163","-3.52","-3.52","-3.52"
"128.904007599","3389","3389","3389","-3.52","-3.52","-3.52"
"136.736146749","3609","3609","3609","-3.52","-3.52","-3.52"
"144.353257717","3835","3835","3835","-3.52","-3.52","-3.52"
"151.956217377","4061","4061","4061","-3.52","-3.52","-3.52"
"159.352785792","4275","4275","4275","-3.52","-3.52","-3.52"
"167.39119896","4513","4513","4513","-3.52","-3.52","-3.52"
"175.341825952","4745","4745","4745","-3.52","-3.52","-3.52"
"183.242210644","4977","4977","4977","-3.52","-3.52","-3.52"
"191.214825753","5197","5197","5197","-3.52","-3.52","-3.52"
"199.15929317","5429","5429","5429","-3.52","-3.52","-3.52"
"207.279200358","5649","5649","5649","-3.52","-3.52","-3.52"
"215.203300721","5869","5869","5869","-3.52","-3.52","-3.52"
"223.252852455","6089","6089","6089","-4.82","-4.82","-4.82"
"230.884717683","6315","6315","6315","-3.52","-3.52","-3.52"
"238.482970749","6535","6535","6535","-3.52","-3.52","-3.52"
"246.442111204","6761","6761","6761","-3.52","-3.52","-3.52"
"254.493929952","6987","6987","6987","-3.52","-3.52","-3.52"
"262.965556329","7213","7213","7213","-3.52","-3.52","-3.52"
"270.835598162","7439","7439","7439","-3.52","-3.52","-3.52"
"278.368703286","7659","7659","7659","-3.52","-3.52","-3.52"
"286.372523295","7873","7873","7873","-4.47","-4.47","-4.47"
"294.379718527","8093","8093","8093","-3.52","-3.52","-3.52"
"302.47305939","8319","8319","8319","-3.52","-3.52","-3.52"
"311.030655999","8545","8545","8545","-3.52","-3.52","-3.52"
"319.609946437","8759","8759","8759","-3.52","-3.52","-3.52"
"327.971648326","8985","8985","8985","-3.52","-3.52","-3.52"
"336.405160598","9205","9205","9205","-3.52","-3.52","-3.52"
"344.479267713","9431","9431","9431","-3.52","-3.52","-3.52"
"352.911800034","9657","9657","9657","-3.52","-3.52","-3.52"
"361.446453246","9883","9883","9883","-3.52","-3.52","-3.52"
"369.973917022","10115","10115","10115","-3.52","-3.52","-3.52"
"378.052168236","10335","10335","10335","-3.52","-3.52","-3.52"
"386.810789854","10555","10555","10555","-3.52","-3.52","-3.52"
"395.112314001","10775","10775","10775","-3.52","-3.52","-3.52"
"403.309409832","10995","10995","10995","-3.52","-3.52","-3.52"
"411.950708055","11221","11221","11221","-3.52","-3.52","-3.52"
"420.640402311","11447","11447","11447","-3.52","-3.52","-3.52"
"429.316005673","11673","11673","11673","-3.52","-3.52","-3.52"
"437.833844962","11899","11899","11899","-3.52","-3.52","-3.52"
"446.83267003","12125","12125","12125","-3.52","-3.52","-3.52"
"455.245182888","12351","12351","12351","-3.52","-3.52","-3.52"
"463.721889517","12571","12571","12571","-3.52","-3.52","-3.52"
"472.68638748","12809","12809","12809","-3.52","-3.52","-3.52"
"481.38414485","13041","13041","13041","-3.52","-3.52","-3.52"
"489.782238448","13261","13261","13261","-3.52","-3.52","-3.52"
"498.968812128","13481","13481","13481","-3.52","-3.52","-3.52"
"508.091332726","13707","13707","13707","-3.52","-3.52","-3.52"
"516.537646095","13933","13933","13933","-3.52","-3.52","-3.52"
"525.314045458","14165","14165","14165","-3.52","-3.52","-3.52"
"534.289117239","14385","14385","14385","-3.52","-3.52","-3.52"
"543.20230345","14611","14611","14611","-3.52","-3.52","-3.52"
"552.323682648","14831","14831","14831","-3.52","-3.52","-3.52"
"561.422829509","15051","15051","15051","-3.52","-3.52","-3.52"
"570.092066241","15277","15277","15277","-3.52","-3.52","-3.52"
"578.861935495","15503","15503","15503","-3.52","-3.52","-3.52"
"587.424669985","15729","15729","15729","-3.52","-3.52","-3.52"
"596.027248895","15955","15955","15955","-3.52","-3.52","-3.52"
"604.808688728","16193","16193","16193","-3.52","-3.52","-3.52"
"613.527848135","16413","16413","16413","-3.52","-3.52","-3.52"
"622.183643074","16639","16639","16639","-3.52","-3.52","-3.52"
"630.878025337","16859","16859","16859","-3.52","-3.52","-3.52"
"639.673414642","17079","17079","17079","-3.52","-3.52","-3.52"
"648.28453557","17299","17299","17299","-3.52","-3.52","-3.52"
"656.94687919","17519","17519","17519","-3.52","-3.52","-3.52"
"665.304571624","17751","17751","17751","-3.52","-3.52","-3.52"
"674.007153348","17977","17977","17977","-3.52","-3.52","-3.52"
"682.698853719","18203","18203","18203","-3.52","-3.52","-3.52"
"691.632084395","18423","18423","18423","-3.52","-3.52","-3.52"
"700.297089748","18643","18643","18643","-3.52","-3.52","-3.52"
"708.876735907","18863","18863","18863","-3.52","-3.52","-3.52"
"717.461098038","19083","19083","19083","-3.52","-3.52","-3.52"
"725.779706163","19309","19309","19309","-3.52","-3.52","-3.52"
"734.337275751","19529","19529","19529","-3.52","-3.52","-3.52"
"744.02070976","19761","19761","19761","-3.52","-3.52","-3.52"
"753.316643589","19993","19993","19993","-3.52","-3.52","-3.52"
"762.322237037","20213","20213","20213","-3.52","-3.52","-3.52"
"771.152165399","20433","20433","20433","-3.52","-3.52","-3.52"
"780.400378059","20659","20659","20659","-3.52","-3.52","-3.52"
"789.196471035","20879","20879","20879","-3.52","-3.52","-3.52"
"798.303022062","21105","21105","21105","-3.52","-3.52","-3.52"
"807.371348605","21331","21331","21331","-3.52","-3.52","-3.52"
"816.939719531","21557","21557","21557","-3.52","-3.52","-3.52"
"825.748531085","21789","21789","21789","-3.52","-3.52","-3.52"
"834.630687136","22009","22009","22009","-3.52","-3.52","-3.52"
"843.869215844","22229","22229","22229","-3.52","-3.52","-3.52"
"852.790407537","22455","22455","22455","-3.52","-3.52","-3.52"
"861.750739613","22681","22681","22681","-3.52","-3.52","-3.52"
"870.717234154","22913","22913","22913","-3.52","-3.52","-3.52"
"879.537060934","23139","23139","23139","-3.52","-3.52","-3.52"
"888.209770292","23355","23355","23355","-4.79","-4.79","-4.79"
"897.171183138","23581","23581","23581","-3.52","-3.52","-3.52"
"906.102735873","23807","23807","23807","-3.52","-3.52","-3.52"
"915.000515777","24033","24033","24033","-3.52","-3.52","-3.52"
"924.168974874","24259","24259","24259","-3.52","-3.52","-3.52"
"933.033311441","24485","24485","24485","-3.52","-3.52","-3.52"
"942.004575211","24705","24705","24705","-3.52","-3.52","-3.52"
"951.187485142","24937","24937","24937","-3.52","-3.52","-3.52"
"960.157788445","25157","25157","25157","-3.52","-3.52","-3.52"
"969.533728627","25377","25377","25377","-3.52","-3.52","-3.52"
"979.160051098","25603","25603","25603","-3.52","-3.52","-3.52"
"988.944041928","25829","25829","25829","-3.52","-3.52","-3.52"
"998.104590118","26055","26055","26055","-3.52","-3.52","-3.52"
"1007.687842016","26281","26281","26281","-3.52","-3.52","-3.52"
"1017.055027819","26501","26501","26501","-3.52","-3.52","-3.52"
"1026.3998699","26727","26727","26727","-3.52","-3.52","-3.52"
"1035.652223914","26947","26947","26947","-3.52","-3.52","-3.52"
"1045.624070829","27191","27191","27191","-3.52","-3.52","-3.52"
"1054.512246446","27411","27411","27411","-3.52","-3.52","-3.52"
"1063.72236934","27637","27637","27637","-3.52","-3.52","-3.52"
"1073.154430685","27857","27857","27857","-3.52","-3.52","-3.52"
"1082.420688516","28083","28083","28083","-3.52","-3.52","-3.52"
"1091.933266476","28303","28303","28303","-3.52","-3.52","-3.52"
"1101.224243531","28529","28529","28529","-3.52","-3.52","-3.52"
"1110.65639514","28749","28749","28749","-3.52","-3.52","-3.52"
"1119.745373204","28969","28969","28969","-3.52","-3.52","-3.52"
"1128.839606749","29195","29195","29195","-3.52","-3.52","-3.52"
"1138.073981536","29427","29427","29427","-3.52","-3.52","-3.52"
"1147.108576936","29641","29641","29641","-3.52","-3.52","-3.52"
"1156.627396516","29867","29867","29867","-3.52","-3.52","-3.52"
"1166.719991711","30093","30093","30093","-3.52","-3.52","-3.52"
"1176.749248761","30319","30319","30319","-3.52","-3.52","-3.52"
"1186.514677171","30545","30545","30545","-3.52","-3.52","-3.52"
"1196.517589224","30765","30765","30765","-3.52","-3.52","-3.52"
"1206.592176657","30991","30991","30991","-3.52","-3.52","-3.52"
"1216.355000411","31223","31223","31223","-3.52","-3.52","-3.52"
"1225.860700459","31443","31443","31443","-3.52","-3.52","-3.52"
"1235.212270468","31663","31663","31663","-3.52","-3.52","-3.52"
"1244.613280795","31883","31883","31883","-3.52","-3.52","-3.52"
"1254.128624474","32115","32115","32115","-3.52","-3.52","-3.52"
"1263.509449449","32341","32341","32341","-3.52","-3.52","-3.52"
"1273.084220138","32573","32573","32573","-3.52","-3.52","-3.52"
"1282.669943491","32799","32799","32799","-3.52","-3.52","-3.52"
"1292.336527054","33025","33025","33025","-3.52","-3.52","-3.52"
"1301.930929568","33251","33251","33251","-3.52","-3.52","-3.52"
"1312.206824152","33477","33477","33477","-3.52","-3.52","-3.52"
"1322.621565455","33703","33703","33703","-3.52","-3.52","-3.52"
"1333.309979886","33929","33929","33929","-3.52","-3.52","-3.52"
"1343.559774733","34149","34149","34149","-3.52","-3.52","-3.52"
"1353.200888257","34369","34369","34369","-3.52","-3.52","-3.52"
"1363.006430479","34601","34601","34601","-3.52","-3.52","-3.52"
"1372.993517658","34827","34827","34827","-3.52","-3.52","-3.52"
"1383.083744009","35059","35059","35059","-3.52","-3.52","-3.52"
"1393.52742743","35285","35285","35285","-3.52","-3.52","-3.52"
"1403.562866383","35511","35511","35511","-3.52","-3.52","-3.52"
"1413.576379074","35731","35731","35731","-3.52","-3.52","-3.52"
"1423.652567414","35951","35951","35951","-3.52","-3.52","-3.52"
"1433.600815105","36171","36171","36171","-3.52","-3.52","-3.52"
"1443.636389572","36391","36391","36391","-3.52","-3.52","-3.52"
"1453.270310956","36617","36617","36617","-3.52","-3.52","-3.52"
"1463.062604975","36843","36843","36843","-3.52","-3.52","-3.52"
"1473.11629807","37069","37069","37069","-3.52","-3.52","-3.52"
"1483.400741577","37301","37301","37301","-3.52","-3.52","-3.52"
"1493.680260619","37521","37521","37521","-3.52","-3.52","-3.52"
"1503.989280325","37741","37741","37741","-3.52","-3.52","-3.52"
"1513.915971795","37955","37955","37955","-4.51","-4.51","-4.51"
"1523.932135467","38181","38181","38181","-3.52","-3.52","-3.52"
"1534.079257701","38413","38413","38413","-3.52","-3.52","-3.52"
"1543.769730272","38633","38633","38633","-3.52","-3.52","-3.52"
"1553.779034701","38859","38859","38859","-3.52","-3.52","-3.52"
"1563.810080036","39079","39079","39079","-4.82","-4.82","-4.82"
"1573.618064757","39311","39311","39311","-3.52","-3.52","-3.52"
"1583.513096208","39543","39543","39543","-3.52","-3.52","-3.52"
"1593.459479324","39763","39763","39763","-3.52","-3.52","-3.52"
"1603.260422025","39989","39989","39989","-3.52","-3.52","-3.52"
"1613.196591547","40221","40221","40221","-3.52","-3.52","-3.52"
"1623.220806809","40447","40447","40447","-3.52","-3.52","-3.52"
"1633.606034269","40667","40667","40667","-3.52","-3.52","-3.52"
"1644.470782837","40893","40893","40893","-3.52","-3.52","-3.52"
"1655.016021082","41125","41125","41125","-3.52","-3.52","-3.52"
"1665.470474174","41351","41351","41351","-3.52","-3.52","-3.52"
"1675.672604498","41577","41577","41577","-3.52","-3.52","-3.52"
"1685.97508134","41797","41797","41797","-3.52","-3.52","-3.52"
"1696.464650733","42023","42023","42023","-3.52","-3.52","-3.52"
"1707.050683177","42249","42249","42249","-3.52","-3.52","-3.52"
"1717.310869924","42469","42469","42469","-3.52","-3.52","-3.52"
"1727.53069755","42695","42695","42695","-3.52","-3.52","-3.52"
"1737.460687102","42921","42921","42921","-3.52","-3.52","-3.52"
"1747.840716279","43147","43147","43147","-3.52","-3.52","-3.52"
"1758.492854141","43373","43373","43373","-3.52","-3.52","-3.52"
"1769.220908399","43599","43599","43599","-3.52","-3.52","-3.52"
"1779.511069662","43825","43825","43825","-3.52","-3.52","-3.52"
"1790.442375788","44051","44051","44051","-3.52","-3.52","-3.52"
"1801.366332888","44277","44277","44277","-3.52","-3.52","-3.52"
"1812.461247486","44497","44497","44497","-3.52","-3.52","-3.52"
"1822.583989628","44717","44717","44717","-3.52","-3.52","-3.52"
"1833.225640868","44943","44943","44943","-3.52","-3.52","-3.52"
"1844.27522376","45169","45169","45169","-3.52","-3.52","-3.52"
"1855.056671501","45401","45401","45401","-3.52","-3.52","-3.52"
"1865.862364643","45627","45627","45627","-3.52","-3.52","-3.52"
"1876.506188038","45859","45859","45859","-3.52","-3.52","-3.52"
"1887.155121996","46085","46085","46085","-3.52","-3.52","-3.52"
"1898.160740637","46311","46311","46311","-3.52","-3.52","-3.52"
"1908.470737723","46531","46531","46531","-3.52","-3.52","-3.52"
"1919.306621148","46757","46757","46757","-3.52","-3.52","-3.52"
"1929.953984431","46977","46977","46977","-3.52","-3.52","-3.52"
"1940.606795987","47203","47203","47203","-3.52","-3.52","-3.52"
"1950.951319866","47423","47423","47423","-3.52","-3.52","-3.52"
"1961.564383015","47655","47655","47655","-3.52","-3.52","-3.52"
"1971.868207994","47875","47875","47875","-3.52","-3.52","-3.52"
"1982.196677898","48095","48095","48095","-3.52","-3.52","-3.52"
"1993.000129247","48315","48315","48315","-3.52","-3.52","-3.52"
"2003.888772406","48541","48541","48541","-3.52","-3.52","-3.52"
"2014.904807242","48761","48761","48761","-3.52","-3.52","-3.52"
"2025.705939046","48987","48987","48987","-3.52","-3.52","-3.52"
"2036.330902494","49207","49207","49207","-3.52","-3.52","-3.52"
"2047.317370301","49427","49427","49427","-3.52","-3.52","-3.52"
"2057.720000073","49653","49653","49653","-3.52","-3.52","-3.52"
"2068.366655056","49879","49879","49879","-3.52","-3.52","-3.52"
"2079.260724781","50105","50105","50105","-3.52","-3.52","-3.52"
"2090.123575172","50331","50331","50331","-3.52","-3.52","-3.52"
"2101.157958089","50557","50557","50557","-3.52","-3.52","-3.52"
"2112.303845174","50783","50783","50783","-3.52","-3.52","-3.52"
"2123.546550733","51015","51015","51015","-3.52","-3.52","-3.52"
"2134.799839668","51241","51241","51241","-3.52","-3.52","-3.52"
"2145.936846713","51467","51467","51467","-3.52","-3.52","-3.52"
"2156.846149397","51687","51687","51687","-3.52","-3.52","-3.52"
"2168.046339585","51919","51919","51919","-3.52","-3.52","-3.52"
"2179.770706947","52151","52151","52151","-3.52","-3.52","-3.52"
"2191.181717691","52377","52377","52377","-4.51","-4.51","-4.51"
"2201.653102738","52597","52597","52597","-3.52","-3.52","-3.52"
"2212.3794939","52823","52823","52823","-3.52","-3.52","-3.52"
"2223.05165001","53049","53049","53049","-3.52","-3.52","-3.52"
"2233.892400383","53281","53281","53281","-3.52","-3.52","-3.52"
"2245.219662857","53507","53507","53507","-3.52","-3.52","-3.52"
"2256.088576244","53733","53733","53733","-3.52","-3.52","-3.52"
"2267.173064897","53959","53959","53959","-3.52","-3.52","-3.52"
"2278.284483737","54185","54185","54185","-4.51","-4.51","-4.51"
"2289.36956847","54399","54399","54399","-3.52","-3.52","-3.52"
"2300.690683969","54625","54625","54625","-3.52","-3.52","-3.52"
"2311.788915595","54851","54851","54851","-3.52","-3.52","-3.52"
"2322.968970819","55077","55077","55077","-3.52","-3.52","-3.52"
"2334.204824969","55309","55309","55309","-3.52","-3.52","-3.52"
"2345.541392317","55535","55535","55535","-3.52","-3.52","-3.52"
"2357.049217469","55761","55761","55761","-3.52","-3.52","-3.52"
"2368.601860077","55987","55987","55987","-3.52","-3.52","-3.52"
"2379.843382008","56207","56207","56207","-3.52","-3.52","-3.52"
"2391.290701933","56427","56427","56427","-3.52","-3.52","-3.52"
"2402.582183215","56653","56653","56653","-3.52","-3.52","-3.52"
"2413.962677282","56873","56873","56873","-3.52","-3.52","-3.52"
"2425.447759654","57087","57087","57087","-3.52","-3.52","-3.52"
"2437.674208554","57313","57313","57313","-3.52","-3.52","-3.52"
"2449.083823232","57539","57539","57539","-3.52","-3.52","-3.52"
"2460.466626244","57765","57765","57765","-3.52","-3.52","-3.52"
"2472.070703172","57991","57991","57991","-3.52","-3.52","-3.52"
"2483.430403021","58217","58217","58217","-3.52","-3.52","-3.52"
"2494.808291231","58443","58443","58443","-3.52","-3.52","-3.52"
"2505.839123888","58663","58663","58663","-3.52","-3.52","-3.52"
"2517.282861441","58889","58889","58889","-3.52","-3.52","-3.52"
