"Relative Time (Process)","2025-05-04_14-28-00_PID37129 - _step","2025-05-04_14-28-00_PID37129 - _step__MIN","2025-05-04_14-28-00_PID37129 - _step__MAX","2025-05-04_14-28-00_PID37129 - amount_of_options_explored","2025-05-04_14-28-00_PID37129 - amount_of_options_explored__MIN","2025-05-04_14-28-00_PID37129 - amount_of_options_explored__MAX"
"8.501778550000001","4","4","4","1","1","1"
"12.114222843","66","66","66","2","2","2"
"15.587413219","123","123","123","3","3","3"
"19.066479103","180","180","180","3","3","3"
"22.578352847","238","238","238","4","4","4"
"28.156318857","368","368","368","5","5","5"
"33.639720231","488","488","488","5","5","5"
"37.186109375","551","551","551","6","6","6"
"42.566541984","671","671","671","7","7","7"
"48.200590792","796","796","796","7","7","7"
"51.681474715","854","854","854","8","8","8"
"57.048403225","974","974","974","9","9","9"
"62.538803061","1084","1084","1084","9","9","9"
"68.093465833","1205","1205","1205","10","10","10"
"75.685644502","1393","1393","1393","10","10","10"
"80.856933704","1514","1514","1514","11","11","11"
"88.364476559","1692","1692","1692","11","11","11"
"93.70115476","1818","1818","1818","12","12","12"
"101.171837171","2001","2001","2001","12","12","12"
"106.559291655","2117","2117","2117","13","13","13"
"114.151742196","2290","2290","2290","13","13","13"
"119.689883397","2411","2411","2411","14","14","14"
"127.188753589","2594","2594","2594","14","14","14"
