"Relative Time (Process)","DQN_4seq10 - _step","DQN_4seq10 - _step__MIN","DQN_4seq10 - _step__MAX","DQN_4seq10 - amount_of_options_explored","DQN_4seq10 - amount_of_options_explored__MIN","DQN_4seq10 - amount_of_options_explored__MAX"
"26.725245477","6","6","6","1","1","1"
"29.060924736","55","55","55","2","2","2"
"31.169637832","114","114","114","3","3","3"
"33.216934946","183","183","183","4","4","4"
"37.12207185","249","249","249","5","5","5"
"39.171041964","308","308","308","6","6","6"
"41.169621006","372","372","372","7","7","7"
"43.047603122","431","431","431","8","8","8"
"46.532353049","507","507","507","9","9","9"
"48.511602872","561","561","561","10","10","10"
"50.449670535","620","620","620","11","11","11"
"52.501709434","684","684","684","12","12","12"
"57.822369719","798","798","798","13","13","13"
"59.86024604","857","857","857","14","14","14"
"62.088198041","926","926","926","15","15","15"
"65.533925208","997","997","997","16","16","16"
"67.480297822","1051","1051","1051","17","17","17"
"69.547189364","1120","1120","1120","18","18","18"
"71.565632852","1179","1179","1179","19","19","19"
"86.384311603","1547","1547","1547","20","20","20"
"88.412935256","1606","1606","1606","21","21","21"
"90.579797268","1665","1665","1665","22","22","22"
"117.851824782","2345","2345","2345","23","23","23"
"119.874652546","2409","2409","2409","24","24","24"
"186.505604386","3977","3977","3977","25","25","25"
"188.718036293","4041","4041","4041","26","26","26"
"190.726204863","4100","4100","4100","27","27","27"
"199.110017536","4282","4282","4282","28","28","28"
"201.149636712","4341","4341","4341","29","29","29"
"365.546528943","8065","8065","8065","30","30","30"
"367.785421538","8129","8129","8129","31","31","31"
"369.873584377","8193","8193","8193","32","32","32"
"398.442517188","8820","8820","8820","33","33","33"
"400.889299634","8879","8879","8879","34","34","34"
"403.384290032","8943","8943","8943","35","35","35"
"565.948792393","12461","12461","12461","36","36","36"
"568.192800739","12520","12520","12520","37","37","37"
"655.058195311","14400","14400","14400","38","38","38"
"657.240334782","14464","14464","14464","39","39","39"
"894.782467354","19388","19388","19388","40","40","40"
"897.193440929","19452","19452","19452","41","41","41"
"899.593733246","19511","19511","19511","42","42","42"
"1151.801624139","24385","24385","24385","43","43","43"
"1154.477247131","24449","24449","24449","44","44","44"
"1157.137990296","24518","24518","24518","45","45","45"
"1193.027753773","25218","25218","25218","46","46","46"
"1195.911125798","25277","25277","25277","47","47","47"
"1309.696515965","27313","27313","27313","48","48","48"
"1312.230993522","27377","27377","27377","49","49","49"
"1314.729447355","27436","27436","27436","50","50","50"
"1360.920313886","28360","28360","28360","51","51","51"
"1363.501318992","28424","28424","28424","52","52","52"
"2017.201666638","39809","39809","39809","53","53","53"
"2020.669632724","39868","39868","39868","54","54","54"
