"Relative Time (Process)","DQN_4seq10 - _step","DQN_4seq10 - _step__MIN","DQN_4seq10 - _step__MAX","DQN_4seq10 - env_steps_inside_sim","DQN_4seq10 - env_steps_inside_sim__MIN","DQN_4seq10 - env_steps_inside_sim__MAX"
"26.782925958","7","7","7","1","1","1"
"26.898801953","12","12","12","2","2","2"
"26.953042689","17","17","17","3","3","3"
"26.996132295","22","22","22","4","4","4"
"27.035091784","27","27","27","5","5","5"
"27.088602318","32","32","32","6","6","6"
"27.13220811","37","37","37","7","7","7"
"27.178701434","42","42","42","8","8","8"
"27.220218548","47","47","47","9","9","9"
"29.105033942","56","56","56","10","10","10"
"29.147995644","61","61","61","11","11","11"
"29.195307644","66","66","66","12","12","12"
"29.240441138","71","71","71","13","13","13"
"29.286745311","76","76","76","14","14","14"
"29.325414340000002","81","81","81","15","15","15"
"29.364660568","86","86","86","16","16","16"
"29.405077685","91","91","91","17","17","17"
"29.449748072","96","96","96","18","18","18"
"29.491450143","101","101","101","19","19","19"
"29.544065596","106","106","106","20","20","20"
"31.169645254","115","115","115","21","21","21"
"31.208435194","120","120","120","22","22","22"
"31.250542586","125","125","125","23","23","23"
"31.293893558","130","130","130","24","24","24"
"31.336069783","135","135","135","25","25","25"
"31.381810162","140","140","140","26","26","26"
"31.423380784","145","145","145","27","27","27"
"31.46798842","150","150","150","28","28","28"
"31.508939449","155","155","155","29","29","29"
"31.550910027","160","160","160","30","30","30"
"31.594955986","165","165","165","31","31","31"
"31.641108236","170","170","170","32","32","32"
"31.688878476","175","175","175","33","33","33"
"33.261575509","184","184","184","34","34","34"
"33.302876167","189","189","189","35","35","35"
"33.354756803","194","194","194","36","36","36"
"33.409162131","199","199","199","37","37","37"
"33.463684071","204","204","204","38","38","38"
"33.516744687","209","209","209","39","39","39"
"33.572103827","214","214","214","40","40","40"
"33.622980819","219","219","219","41","41","41"
"33.671811448","224","224","224","42","42","42"
"33.723658041","229","229","229","43","43","43"
"33.777557154","234","234","234","44","44","44"
"37.179003209","250","250","250","45","45","45"
"37.217637129","255","255","255","46","46","46"
"37.256919237","260","260","260","47","47","47"
"37.296420124","265","265","265","48","48","48"
"37.336147458","270","270","270","49","49","49"
"37.378806457","275","275","275","50","50","50"
"37.41726821","280","280","280","51","51","51"
"37.455835119","285","285","285","52","52","52"
"37.495801957","290","290","290","53","53","53"
"37.533804249","295","295","295","54","54","54"
"37.578380188","300","300","300","55","55","55"
"39.219984384","309","309","309","56","56","56"
"39.258952731","314","314","314","57","57","57"
"39.300201649","319","319","319","58","58","58"
"39.339774062","324","324","324","59","59","59"
"39.377449694","329","329","329","60","60","60"
"39.418400967","334","334","334","61","61","61"
"39.455667353","339","339","339","62","62","62"
"39.492664217","344","344","344","63","63","63"
"39.528871429","349","349","349","64","64","64"
"39.564947176","354","354","354","65","65","65"
"39.610234664000004","359","359","359","66","66","66"
"39.650778071","364","364","364","67","67","67"
"41.173459449","373","373","373","68","68","68"
"41.213010889","378","378","378","69","69","69"
"41.251101696","383","383","383","70","70","70"
"41.289410909","388","388","388","71","71","71"
"41.32648694","393","393","393","72","72","72"
"41.370343803","398","398","398","73","73","73"
"41.409350028","403","403","403","74","74","74"
"41.447748904","408","408","408","75","75","75"
"41.485519838","413","413","413","76","76","76"
"41.52498351","418","418","418","77","77","77"
"41.567549132","423","423","423","78","78","78"
"43.093393427","432","432","432","79","79","79"
"43.132498229","437","437","437","80","80","80"
"43.172604888","442","442","442","81","81","81"
"43.214575828","447","447","447","82","82","82"
"43.25368716","452","452","452","83","83","83"
"43.301667939","457","457","457","84","84","84"
"43.340496512","462","462","462","85","85","85"
"43.379696887","467","467","467","86","86","86"
"43.419220251","472","472","472","87","87","87"
"43.461473973","477","477","477","88","88","88"
"43.503205203","482","482","482","89","89","89"
"43.54475249","487","487","487","90","90","90"
"43.601648953","492","492","492","91","91","91"
"46.578640503","508","508","508","92","92","92"
"46.618244247","513","513","513","93","93","93"
"46.658473497","518","518","518","94","94","94"
"46.697648951","523","523","523","95","95","95"
"46.739541954","528","528","528","96","96","96"
"46.785171825","533","533","533","97","97","97"
"46.827785983","538","538","538","98","98","98"
"46.868976787","543","543","543","99","99","99"
"46.911225763","548","548","548","100","100","100"
"46.954905463","553","553","553","101","101","101"
"48.56008885","562","562","562","102","102","102"
"48.602530164","567","567","567","103","103","103"
"48.648174927","572","572","572","104","104","104"
"48.69096788","577","577","577","105","105","105"
"48.734241654","582","582","582","106","106","106"
"48.779117585","587","587","587","107","107","107"
"48.817815234","592","592","592","108","108","108"
"48.857238377","597","597","597","109","109","109"
"48.897321495","602","602","602","110","110","110"
"48.938601724","607","607","607","111","111","111"
"48.981886452","612","612","612","112","112","112"
"50.496025925","621","621","621","113","113","113"
"50.53464334","626","626","626","114","114","114"
"50.573510512","631","631","631","115","115","115"
"50.612320452","636","636","636","116","116","116"
"50.651175637","641","641","641","117","117","117"
"50.695534075","646","646","646","118","118","118"
"50.734297531","651","651","651","119","119","119"
"50.772872237","656","656","656","120","120","120"
"50.812123476","661","661","661","121","121","121"
"50.85019178","666","666","666","122","122","122"
"50.892107811","671","671","671","123","123","123"
"50.949639795","676","676","676","124","124","124"
"52.549051334","685","685","685","125","125","125"
"52.588263921","690","690","690","126","126","126"
"52.627429783","695","695","695","127","127","127"
"52.666058391","700","700","700","128","128","128"
"52.705156445","705","705","705","129","129","129"
"52.750360925","710","710","710","130","130","130"
"52.791597352","715","715","715","131","131","131"
"52.830002217","720","720","720","132","132","132"
"52.867991834","725","725","725","133","133","133"
"52.906448441","730","730","730","134","134","134"
"52.948078022","735","735","735","135","135","135"
"55.973899257","750","750","750","136","136","136"
"56.013090621","755","755","755","137","137","137"
"56.050737758","760","760","760","138","138","138"
"56.087950974","765","765","765","139","139","139"
"56.125050153","770","770","770","140","140","140"
