"Relative Time (Process)","DQN_4seq_5 - _step","DQN_4seq_5 - _step__MIN","DQN_4seq_5 - _step__MAX","DQN_4seq_5 - env_steps_inside_sim","DQN_4seq_5 - env_steps_inside_sim__MIN","DQN_4seq_5 - env_steps_inside_sim__MAX"
"13.000724664","12","12","12","2","2","2"
"13.125107306","22","22","22","4","4","4"
"13.176236488","27","27","27","5","5","5"
"13.276167787","37","37","37","7","7","7"
"13.338556869","42","42","42","8","8","8"
"13.390212313","47","47","47","9","9","9"
"15.125980295","56","56","56","10","10","10"
"15.199650434","66","66","66","12","12","12"
"15.298354945","76","76","76","14","14","14"
"15.343646277","81","81","81","15","15","15"
"15.3887106","86","86","86","16","16","16"
"15.491072943","96","96","96","18","18","18"
"15.534751778","101","101","101","19","19","19"
"17.40853917","120","120","120","22","22","22"
"17.449288955","125","125","125","23","23","23"
"17.482852998","130","130","130","24","24","24"
"17.515889334","135","135","135","25","25","25"
"17.548600633","140","140","140","26","26","26"
"17.588869041","145","145","145","27","27","27"
"17.629078237","150","150","150","28","28","28"
"17.669806012","155","155","155","29","29","29"
"17.710497108","160","160","160","30","30","30"
"17.749100568","165","165","165","31","31","31"
"17.788345598","170","170","170","32","32","32"
"19.358370138","184","184","184","34","34","34"
"19.394097553","189","189","189","35","35","35"
"19.465993943","199","199","199","37","37","37"
"19.50077089","204","204","204","38","38","38"
"19.53784111","209","209","209","39","39","39"
"19.580524861","214","214","214","40","40","40"
"19.615639532","219","219","219","41","41","41"
"19.655669866","224","224","224","42","42","42"
"19.694492677","229","229","229","43","43","43"
"19.776850128","239","239","239","45","45","45"
"22.685868333","255","255","255","46","46","46"
"22.762010566","265","265","265","48","48","48"
"22.799656464","270","270","270","49","49","49"
"22.835663067","275","275","275","50","50","50"
"22.933502781","280","280","280","51","51","51"
"22.969839129","285","285","285","52","52","52"
"23.005538706","290","290","290","53","53","53"
"23.040741083","295","295","295","54","54","54"
"23.081892071","300","300","300","55","55","55"
"23.120591737","305","305","305","56","56","56"
"24.626094101","314","314","314","57","57","57"
"24.65744537","319","319","319","58","58","58"
"24.721050712","329","329","329","60","60","60"
"24.753432056","334","334","334","61","61","61"
"24.787226043","339","339","339","62","62","62"
"24.820599792","344","344","344","63","63","63"
"24.883272573","354","354","354","65","65","65"
"24.945252143","364","364","364","67","67","67"
"24.976465774","369","369","369","68","68","68"
"26.412761083","378","378","378","69","69","69"
"26.442226331","383","383","383","70","70","70"
"26.472546351","388","388","388","71","71","71"
"26.502525826","393","393","393","72","72","72"
"26.532820235","398","398","398","73","73","73"
"26.599882181","408","408","408","75","75","75"
"26.631669608","413","413","413","76","76","76"
"26.725238885","428","428","428","79","79","79"
"28.20531622","447","447","447","82","82","82"
"28.237899939","452","452","452","83","83","83"
"28.271188213","457","457","457","84","84","84"
"28.30422884","462","462","462","85","85","85"
"28.340151422","467","467","467","86","86","86"
"28.386571173","472","472","472","87","87","87"
"28.4903841","487","487","487","90","90","90"
"28.526283329","492","492","492","91","91","91"
"28.561940781","497","497","497","92","92","92"
"31.569933456","513","513","513","93","93","93"
"31.678514843","528","528","528","96","96","96"
"31.715231739","533","533","533","97","97","97"
"31.795834544999998","538","538","538","98","98","98"
"31.902674876","553","553","553","101","101","101"
"31.938681448","558","558","558","102","102","102"
"31.976296804","563","563","563","103","103","103"
"33.573734848","572","572","572","104","104","104"
"33.610113322","577","577","577","105","105","105"
"33.645449217","582","582","582","106","106","106"
"33.680911247","587","587","587","107","107","107"
"33.821940272","602","602","602","110","110","110"
"33.856953783","607","607","607","111","111","111"
"33.896350398","612","612","612","112","112","112"
"33.936800229","617","617","617","113","113","113"
"33.972316967","622","622","622","114","114","114"
"35.587450057","631","631","631","115","115","115"
"35.624164158","636","636","636","116","116","116"
"35.660129983","641","641","641","117","117","117"
"35.69651237","646","646","646","118","118","118"
"35.736286832","651","651","651","119","119","119"
"35.83633366","661","661","661","121","121","121"
"35.87026779","666","666","666","122","122","122"
"35.904387441","671","671","671","123","123","123"
"35.973419269","681","681","681","125","125","125"
"37.605692372","695","695","695","127","127","127"
"37.679785013","705","705","705","129","129","129"
"37.851014966","725","725","725","133","133","133"
"37.920521038","735","735","735","135","135","135"
"37.955748678","740","740","740","136","136","136"
"41.118558157","765","765","765","139","139","139"
"41.159228392","770","770","770","140","140","140"
"41.196943397","775","775","775","141","141","141"
"41.232762138","780","780","780","142","142","142"
"41.311338982","785","785","785","143","143","143"
"41.383256825","795","795","795","145","145","145"
"41.423927906","800","800","800","146","146","146"
"43.003872648","808","808","808","147","147","147"
"43.039383179","813","813","813","148","148","148"
