"Relative Time (Process)","DQN_4seq_7 - _step","DQN_4seq_7 - _step__MIN","DQN_4seq_7 - _step__MAX","DQN_4seq_7 - amount_of_options_explored","DQN_4seq_7 - amount_of_options_explored__MIN","DQN_4seq_7 - amount_of_options_explored__MAX"
"19.780474551","6","6","6","1","1","1"
"21.976363764","65","65","65","2","2","2"
"23.978617068","124","124","124","3","3","3"
"26.1946412","188","188","188","4","4","4"
"29.50469","259","259","259","5","5","5"
"31.338353144","308","308","308","6","6","6"
"33.108949202","367","367","367","7","7","7"
"34.886673772","426","426","426","8","8","8"
"37.961282379","492","492","492","9","9","9"
"40.047805339","551","551","551","10","10","10"
"42.261114769","615","615","615","11","11","11"
"44.54017645","674","674","674","12","12","12"
"90.289527717","1847","1847","1847","13","13","13"
"92.335275332","1906","1906","1906","14","14","14"
"98.70690198","2035","2035","2035","15","15","15"
"100.796755427","2099","2099","2099","16","16","16"
"103.171516532","2163","2163","2163","17","17","17"
"108.884336035","2282","2282","2282","18","18","18"
"111.02625625","2341","2341","2341","19","19","19"
"113.109182622","2405","2405","2405","20","20","20"
"138.831731863","3022","3022","3022","21","21","21"
"140.737228668","3086","3086","3086","22","22","22"
"142.646583891","3145","3145","3145","23","23","23"
"179.443342106","4079","4079","4079","24","24","24"
"181.403791645","4138","4138","4138","25","25","25"
"538.564860842","12575","12575","12575","26","26","26"
"540.878949576","12629","12629","12629","27","27","27"
"543.18292824","12688","12688","12688","28","28","28"
"545.535835398","12752","12752","12752","29","29","29"
"562.53619415","13120","13120","13120","30","30","30"
"564.86575886","13189","13189","13189","31","31","31"
"567.154127754","13243","13243","13243","32","32","32"
"585.308431975","13596","13596","13596","33","33","33"
"587.748675057","13660","13660","13660","34","34","34"
"590.183202821","13724","13724","13724","35","35","35"
"653.845744767","15166","15166","15166","36","36","36"
"656.208380678","15225","15225","15225","37","37","37"
"832.178360885","19084","19084","19084","38","38","38"
"834.576461074","19153","19153","19153","39","39","39"
"837.098316123","19217","19217","19217","40","40","40"
"846.152193005","19409","19409","19409","41","41","41"
"848.381357494","19463","19463","19463","42","42","42"
"1182.559672541","26414","26414","26414","43","43","43"
"1185.10433029","26473","26473","26473","44","44","44"
"1187.746811826","26542","26542","26542","45","45","45"
"1197.216411912","26724","26724","26724","46","46","46"
"1199.894845097","26788","26788","26788","47","47","47"
"1278.614318282","28361","28361","28361","48","48","48"
"1281.31738523","28425","28425","28425","49","49","49"
"1284.159957435","28489","28489","28489","50","50","50"
"1693.952642084","36484","36484","36484","51","51","51"
"1696.944200599","36543","36543","36543","52","52","52"
