"Relative Time (Process)","astar_4seq_1 - _step","astar_4seq_1 - _step__MIN","astar_4seq_1 - _step__MAX","astar_4seq_1 - env_steps_inside_sim","astar_4seq_1 - env_steps_inside_sim__MIN","astar_4seq_1 - env_steps_inside_sim__MAX"
"16.084540556","5","5","5","1","1","1"
"16.187589646","10","10","10","2","2","2"
"16.235581996","15","15","15","3","3","3"
"16.275876485","20","20","20","4","4","4"
"16.314901156","25","25","25","5","5","5"
"16.361515195","30","30","30","6","6","6"
"16.40614697","35","35","35","7","7","7"
"16.454926205","40","40","40","8","8","8"
"16.49535789","45","45","45","9","9","9"
"16.533001164","50","50","50","10","10","10"
"16.57600849","55","55","55","11","11","11"
"19.864166749","67","67","67","12","12","12"
"19.90497052","72","72","72","13","13","13"
"19.943863999","77","77","77","14","14","14"
"19.979386904","82","82","82","15","15","15"
"20.017711288","87","87","87","16","16","16"
"20.05672543","92","92","92","17","17","17"
"20.093414232","97","97","97","18","18","18"
"20.135535081","102","102","102","19","19","19"
"20.17389058","107","107","107","20","20","20"
"20.20780926","112","112","112","21","21","21"
"23.329558365","124","124","124","22","22","22"
"23.366888881","129","129","129","23","23","23"
"23.404499915","134","134","134","24","24","24"
"23.441052998","139","139","139","25","25","25"
"23.47999614","144","144","144","26","26","26"
"23.551633387","149","149","149","27","27","27"
"23.593958649","154","154","154","28","28","28"
"23.632500296","159","159","159","29","29","29"
"23.671591184","164","164","164","30","30","30"
"23.712983753","169","169","169","31","31","31"
"26.800334232","181","181","181","32","32","32"
"26.836417882","186","186","186","33","33","33"
"26.872089129","191","191","191","34","34","34"
"26.910190545","196","196","196","35","35","35"
"26.945900721","201","201","201","36","36","36"
"27.009047266","206","206","206","37","37","37"
"27.044907373","211","211","211","38","38","38"
"27.080361975","216","216","216","39","39","39"
"27.11579014","221","221","221","40","40","40"
"27.153763576","226","226","226","41","41","41"
"31.857872960999998","242","242","242","42","42","42"
"31.895478448","247","247","247","43","43","43"
"31.93388788","252","252","252","44","44","44"
"31.975413352","257","257","257","45","45","45"
"32.01626546","262","262","262","46","46","46"
"32.066343136","267","267","267","47","47","47"
"32.103328491","272","272","272","48","48","48"
"32.137267707","277","277","277","49","49","49"
"32.170280241","282","282","282","50","50","50"
"32.204931299","287","287","287","51","51","51"
"33.67154428","296","296","296","52","52","52"
"33.702656944","301","301","301","53","53","53"
"33.732632584","306","306","306","54","54","54"
"33.764277194","311","311","311","55","55","55"
"33.79385202","316","316","316","56","56","56"
"33.823817067","321","321","321","57","57","57"
"33.863182815","326","326","326","58","58","58"
"33.896295446","331","331","331","59","59","59"
"33.942172124","336","336","336","60","60","60"
"33.977401365","341","341","341","61","61","61"
"34.023797576","346","346","346","62","62","62"
"34.070174197","351","351","351","63","63","63"
"37.141407739","362","362","362","64","64","64"
"37.183876309","367","367","367","65","65","65"
"37.225218807","372","372","372","66","66","66"
"37.266529686","377","377","377","67","67","67"
"37.308595118","382","382","382","68","68","68"
"37.358087542","387","387","387","69","69","69"
"37.403354762","392","392","392","70","70","70"
"37.444438098","397","397","397","71","71","71"
"37.487084097","402","402","402","72","72","72"
"37.536752079","407","407","407","73","73","73"
"37.581074366","412","412","412","74","74","74"
"39.280357908","421","421","421","75","75","75"
"39.320374603","426","426","426","76","76","76"
"39.36112445","431","431","431","77","77","77"
"39.400537971","436","436","436","78","78","78"
"39.441235125","441","441","441","79","79","79"
"39.494328156","446","446","446","80","80","80"
"39.535267714","451","451","451","81","81","81"
"39.577082888","456","456","456","82","82","82"
"39.620142954","461","461","461","83","83","83"
"39.658635446","466","466","466","84","84","84"
"39.70861105","471","471","471","85","85","85"
"39.749883951","476","476","476","86","86","86"
"43.014388144","487","487","487","87","87","87"
"43.054522559","492","492","492","88","88","88"
"43.095488818","497","497","497","89","89","89"
"43.136366837","502","502","502","90","90","90"
"43.181410487","507","507","507","91","91","91"
"43.232413004","512","512","512","92","92","92"
"43.277378005","517","517","517","93","93","93"
"43.318925308","522","522","522","94","94","94"
"43.362093856","527","527","527","95","95","95"
"43.403135412","532","532","532","96","96","96"
"43.448188233","537","537","537","97","97","97"
"43.498986016","542","542","542","98","98","98"
"45.135555759","551","551","551","99","99","99"
"45.177172098","556","556","556","100","100","100"
"45.216912139","561","561","561","101","101","101"
