"Relative Time (Process)","astar_4seq_5 - _step","astar_4seq_5 - _step__MIN","astar_4seq_5 - _step__MAX","astar_4seq_5 - amount_of_options_explored","astar_4seq_5 - amount_of_options_explored__MIN","astar_4seq_5 - amount_of_options_explored__MAX"
"15.200627264","4","4","4","1","1","1"
"19.2180148","66","66","66","2","2","2"
"23.0429393","123","123","123","3","3","3"
"26.624873208","180","180","180","4","4","4"
"30.126118528","237","237","237","4","4","4"
"33.798017141","295","295","295","5","5","5"
"39.493104379","420","420","420","6","6","6"
"45.174161572","535","535","535","7","7","7"
"50.641036096","655","655","655","7","7","7"
"56.116921461","776","776","776","8","8","8"
"63.604915081","954","954","954","9","9","9"
"71.204103818","1137","1137","1137","9","9","9"
"74.512803005","1195","1195","1195","10","10","10"
"79.91670795","1305","1305","1305","11","11","11"
"85.331151586","1425","1425","1425","12","12","12"
"91.046142103","1530","1530","1530","12","12","12"
"97.467491614","1651","1651","1651","13","13","13"
"105.363396751","1829","1829","1829","14","14","14"
"113.061918363","2017","2017","2017","14","14","14"
"118.439972493","2133","2133","2133","15","15","15"
"125.993524394","2311","2311","2311","16","16","16"
"133.728312179","2484","2484","2484","16","16","16"
"137.420069906","2542","2542","2542","17","17","17"
"142.98949776","2662","2662","2662","18","18","18"
"148.405676446","2772","2772","2772","19","19","19"
"153.931975442","2892","2892","2892","19","19","19"
"161.508542374","3071","3071","3071","20","20","20"
"171.427817211","3312","3312","3312","20","20","20"
"174.977274424","3370","3370","3370","21","21","21"
"180.818620581","3495","3495","3495","22","22","22"
"186.540915814","3620","3620","3620","23","23","23"
"192.381864694","3740","3740","3740","23","23","23"
"198.282924628","3861","3861","3861","24","24","24"
"206.025654644","4049","4049","4049","25","25","25"
"213.991424209","4232","4232","4232","25","25","25"
"219.538433358","4343","4343","4343","26","26","26"
"227.511622575","4506","4506","4506","27","27","27"
"235.528131108","4684","4684","4684","27","27","27"
"243.361923744","4863","4863","4863","28","28","28"
"253.286390073","5099","5099","5099","28","28","28"
"259.320566271","5215","5215","5215","29","29","29"
"267.403478949","5398","5398","5398","30","30","30"
"275.38293239","5576","5576","5576","30","30","30"
"281.094341639","5692","5692","5692","31","31","31"
"289.024599417","5860","5860","5860","32","32","32"
"297.583552646","6038","6038","6038","32","32","32"
"305.58734762","6217","6217","6217","33","33","33"
"315.935407196","6458","6458","6458","33","33","33"
"323.675451352","6632","6632","6632","34","34","34"
"334.245757604","6868","6868","6868","34","34","34"
"340.219768841","6994","6994","6994","35","35","35"
"348.238677563","7182","7182","7182","36","36","36"
"356.44357412","7370","7370","7370","36","36","36"
"364.466873457","7554","7554","7554","37","37","37"
"375.018883343","7795","7795","7795","37","37","37"
