"Relative Time (Process)","DQN1 - _step","DQN1 - _step__MIN","DQN1 - _step__MAX","DQN1 - rewards_per_sequence","DQN1 - rewards_per_sequence__MIN","DQN1 - rewards_per_sequence__MAX"
"6.984626006","4","4","4","0","0","0"
"14.587354304","227","227","227","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"21.95676849","444","444","444","-4.49","-4.49","-4.49"
"29.797905424","667","667","667","-5.21","-5.21","-5.21"
"37.146860163","881","881","881","-5.21","-5.21","-5.21"
"44.949762995","1103","1103","1103","-4.78","-4.78","-4.78"
"52.766770198","1323","1323","1323","-4.78","-4.78","-4.78"
"60.106352331","1549","1549","1549","-4.78","-4.78","-4.78"
"67.315012019","1775","1775","1775","-4.78","-4.78","-4.78"
"74.743673073","2001","2001","2001","-4.78","-4.78","-4.78"
"82.770151773","2221","2221","2221","-4.78","-4.78","-4.78"
"90.732706571","2453","2453","2453","-4.78","-4.78","-4.78"
"99.116344153","2673","2673","2673","-4.78","-4.78","-4.78"
"107.282277441","2899","2899","2899","-4.78","-4.78","-4.78"
"115.044596126","3107","3107","3107","-4.49","-4.49","-4.49"
"122.297862636","3321","3321","3321","-4.49","-4.49","-4.49"
"129.64072997","3535","3535","3535","-4.49","-4.49","-4.49"
"137.446576587","3757","3757","3757","-4.17","-4.17","-4.17"
"144.88042724","3983","3983","3983","-4.17","-4.17","-4.17"
"153.303230653","4209","4209","4209","-4.17","-4.17","-4.17"
"161.590751915","4429","4429","4429","-4.17","-4.17","-4.17"
"170.002015991","4655","4655","4655","-4.17","-4.17","-4.17"
"178.139511176","4881","4881","4881","-4.17","-4.17","-4.17"
"186.703927914","5101","5101","5101","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"195.149026782","5327","5327","5327","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"203.368785062","5535","5535","5535","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"211.266710139","5755","5755","5755","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"219.259812848","5987","5987","5987","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"226.638457175","6201","6201","6201","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"234.332684138","6415","6415","6415","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"242.271969225","6629","6629","6629","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"250.471013775","6849","6849","6849","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"258.473640494","7075","7075","7075","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"267.226447228","7301","7301","7301","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"275.158657802","7521","7521","7521","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"283.48482421","7747","7747","7747","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"291.304568435","7961","7961","7961","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"299.324697823","8181","8181","8181","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"308.076486547","8413","8413","8413","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"316.586338736","8645","8645","8645","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"325.027281523","8865","8865","8865","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"333.489619368","9079","9079","9079","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"341.770817943","9299","9299","9299","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"349.982399403","9513","9513","9513","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"358.512036488","9733","9733","9733","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"367.0165467","9959","9959","9959","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"375.376907002","10173","10173","10173","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"383.953032544","10393","10393","10393","-4.17","-4.17","-4.17"
"391.878630985","10613","10613","10613","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"400.44027073","10833","10833","10833","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"408.497478245","11053","11053","11053","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"416.992738335","11279","11279","11279","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"425.385664701","11493","11493","11493","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"433.957544681","11713","11713","11713","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"442.810960314","11921","11921","11921","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"451.885245114","12141","12141","12141","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"459.863722773","12361","12361","12361","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"468.090822363","12575","12575","12575","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"476.850500694","12795","12795","12795","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"485.865760482","13015","13015","13015","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"494.333150552","13223","13223","13223","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"502.960813699","13437","13437","13437","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"511.719361043","13651","13651","13651","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"520.384865129","13877","13877","13877","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"529.030125689","14091","14091","14091","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"537.386427828","14311","14311","14311","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"545.839565605","14531","14531","14531","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"554.203705371","14763","14763","14763","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"562.700809208","14983","14983","14983","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"571.49839027","15203","15203","15203","-4.4399999999999995","-4.4399999999999995","-4.4399999999999995"
"580.504839638","15423","15423","15423","-4.49","-4.49","-4.49"
"589.196302951","15637","15637","15637","-4.49","-4.49","-4.49"
"597.643603032","15851","15851","15851","-4.49","-4.49","-4.49"
"606.383593949","16065","16065","16065","-4.49","-4.49","-4.49"
"615.340515014","16279","16279","16279","-4.49","-4.49","-4.49"
"624.324935566","16487","16487","16487","-4.49","-4.49","-4.49"
"633.190789622","16707","16707","16707","-4.49","-4.49","-4.49"
"642.039333003","16933","16933","16933","-4.49","-4.49","-4.49"
"650.491939171","17141","17141","17141","-4.49","-4.49","-4.49"
"659.119349451","17361","17361","17361","-4.49","-4.49","-4.49"
"668.111339031","17575","17575","17575","-4.49","-4.49","-4.49"
"677.184430364","17795","17795","17795","-4.49","-4.49","-4.49"
"685.87484673","18003","18003","18003","-4.49","-4.49","-4.49"
"694.814958539","18211","18211","18211","-4.49","-4.49","-4.49"
"703.629660954","18437","18437","18437","-4.49","-4.49","-4.49"
"712.094342167","18657","18657","18657","-4.49","-4.49","-4.49"
"721.073021467","18871","18871","18871","-4.49","-4.49","-4.49"
"729.800432813","19079","19079","19079","-4.49","-4.49","-4.49"
"738.713003975","19293","19293","19293","-4.49","-4.49","-4.49"
"747.525422105","19501","19501","19501","-4.49","-4.49","-4.49"
"756.155546785","19727","19727","19727","-4.49","-4.49","-4.49"
"764.95762806","19941","19941","19941","-4.49","-4.49","-4.49"
"774.008050721","20161","20161","20161","-4.49","-4.49","-4.49"
"782.635846799","20387","20387","20387","-4.49","-4.49","-4.49"
"791.165206565","20607","20607","20607","-4.49","-4.49","-4.49"
"799.989040708","20821","20821","20821","-4.49","-4.49","-4.49"
"809.368660154","21041","21041","21041","-4.49","-4.49","-4.49"
"818.010697609","21255","21255","21255","-4.49","-4.49","-4.49"
"827.096705012","21463","21463","21463","-4.49","-4.49","-4.49"
"836.705286295","21683","21683","21683","-4.49","-4.49","-4.49"
"845.340017357","21897","21897","21897","-4.49","-4.49","-4.49"
"854.973855229","22105","22105","22105","-4.49","-4.49","-4.49"
"864.450820537","22319","22319","22319","-4.49","-4.49","-4.49"
"873.534945992","22541","22541","22541","-5.27","-5.27","-5.27"
"882.717698675","22755","22755","22755","-5.27","-5.27","-5.27"
"891.622488994","22969","22969","22969","-5.27","-5.27","-5.27"
"901.093078194","23183","23183","23183","-5.27","-5.27","-5.27"
"910.579021524","23397","23397","23397","-5.27","-5.27","-5.27"
"919.830671686","23611","23611","23611","-5.27","-5.27","-5.27"
"928.918574027","23837","23837","23837","-4.17","-4.17","-4.17"
"938.444848586","24063","24063","24063","-4.17","-4.17","-4.17"
"947.627366554","24283","24283","24283","-4.17","-4.17","-4.17"
"957.022442933","24497","24497","24497","-5.27","-5.27","-5.27"
"966.662394458","24711","24711","24711","-5.27","-5.27","-5.27"
"976.428533278","24925","24925","24925","-5.27","-5.27","-5.27"
"985.935652516","25139","25139","25139","-5.27","-5.27","-5.27"
"995.528028103","25365","25365","25365","-4.17","-4.17","-4.17"
"1005.450770043","25591","25591","25591","-4.17","-4.17","-4.17"
"1014.493409723","25817","25817","25817","-4.17","-4.17","-4.17"
"1023.642966935","26043","26043","26043","-4.17","-4.17","-4.17"
"1032.773556352","26263","26263","26263","-4.17","-4.17","-4.17"
