"Relative Time (Process)","DQN6 - _step","DQN6 - _step__MIN","DQN6 - _step__MAX","DQN6 - amount_of_options_explored","DQN6 - amount_of_options_explored__MIN","DQN6 - amount_of_options_explored__MAX"
"8.779654531","6","6","6","1","1","1"
"11.558843702","70","70","70","2","2","2"
"14.056124406","146","146","146","3","3","3"
"18.312106815","223","223","223","4","4","4"
"20.470272356","293","293","293","5","5","5"
"22.574104224","363","363","363","6","6","6"
"26.552061518","440","440","440","7","7","7"
"28.641231829","498","498","498","8","8","8"
"30.680407526","568","568","568","9","9","9"
"43.848188928","916","916","916","10","10","10"
"45.994090989","992","992","992","11","11","11"
"105.000356464","2666","2666","2666","12","12","12"
"107.31157733","2742","2742","2742","13","13","13"
"323.094516154","8554","8554","8554","14","14","14"
"325.394046328","8630","8630","8630","15","15","15"
