2024-12-04 12:57:36,118 INFO    MainThread:110332 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-12-04 12:57:36,119 INFO    MainThread:110332 [wandb_setup.py:_flush():79] Configure stats pid to 110332
2024-12-04 12:57:36,119 INFO    MainThread:110332 [wandb_setup.py:_flush():79] Loading settings from /home/xdvisch/.config/wandb/settings
2024-12-04 12:57:36,119 INFO    MainThread:110332 [wandb_setup.py:_flush():79] Loading settings from /home/xdvisch/masterproef/Thesis_CSE/reward_machines/reward_machines/wandb/settings
2024-12-04 12:57:36,119 INFO    MainThread:110332 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-12-04 12:57:36,119 INFO    MainThread:110332 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-12-04 12:57:36,119 INFO    MainThread:110332 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'reward_machines/reward_machines/run_robosuite.py', 'program_abspath': '/home/xdvisch/masterproef/Thesis_CSE/reward_machines/reward_machines/run_robosuite.py', 'program': 'run_robosuite.py'}
2024-12-04 12:57:36,119 INFO    MainThread:110332 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-12-04 12:57:36,119 INFO    MainThread:110332 [wandb_init.py:_log_setup():533] Logging user logs to /home/xdvisch/masterproef/Thesis_CSE/reward_machines/reward_machines/wandb/run-20241204_125736-cfooj9p1/logs/debug.log
2024-12-04 12:57:36,119 INFO    MainThread:110332 [wandb_init.py:_log_setup():534] Logging internal logs to /home/xdvisch/masterproef/Thesis_CSE/reward_machines/reward_machines/wandb/run-20241204_125736-cfooj9p1/logs/debug-internal.log
2024-12-04 12:57:36,119 INFO    MainThread:110332 [wandb_init.py:init():619] calling init triggers
2024-12-04 12:57:36,119 INFO    MainThread:110332 [wandb_init.py:init():627] wandb.init called with sweep_config: {}
config: {}
2024-12-04 12:57:36,119 INFO    MainThread:110332 [wandb_init.py:init():669] starting backend
2024-12-04 12:57:36,119 INFO    MainThread:110332 [wandb_init.py:init():673] sending inform_init request
2024-12-04 12:57:36,120 INFO    MainThread:110332 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-12-04 12:57:36,120 INFO    MainThread:110332 [wandb_init.py:init():686] backend started and connected
2024-12-04 12:57:36,122 INFO    MainThread:110332 [wandb_init.py:init():781] updated telemetry
2024-12-04 12:57:36,133 INFO    MainThread:110332 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-12-04 12:57:36,560 INFO    MainThread:110332 [wandb_init.py:init():867] starting run threads in backend
2024-12-04 12:57:36,610 INFO    MainThread:110332 [wandb_run.py:_console_start():2456] atexit reg
2024-12-04 12:57:36,610 INFO    MainThread:110332 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-12-04 12:57:36,611 INFO    MainThread:110332 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-12-04 12:57:36,611 INFO    MainThread:110332 [wandb_run.py:_redirect():2395] Redirects installed.
2024-12-04 12:57:36,613 INFO    MainThread:110332 [wandb_init.py:init():911] run started, returning control to user process
2024-12-04 12:58:00,860 WARNING MsgRouterThr:110332 [router.py:message_loop():75] message_loop has been closed
